timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.000,0.012,-0.003,9.805,0.001,-0.002,0.000
0.010,0.015,-0.005,9.810,0.002,-0.001,0.001
0.020,0.018,-0.004,9.808,0.001,-0.003,0.000
0.030,0.020,-0.006,9.812,0.003,-0.002,0.002
0.040,0.022,-0.005,9.815,0.002,-0.001,0.001
0.050,0.025,-0.007,9.818,0.004,-0.003,0.002
0.060,0.028,-0.006,9.820,0.003,-0.002,0.001
0.070,0.030,-0.008,9.822,0.005,-0.004,0.003
0.080,0.032,-0.007,9.825,0.004,-0.003,0.002
0.090,0.035,-0.009,9.828,0.006,-0.005,0.003
0.100,0.038,-0.008,9.830,0.005,-0.004,0.002
0.110,0.040,-0.010,9.832,0.007,-0.006,0.004
0.120,0.042,-0.009,9.835,0.006,-0.005,0.003
0.130,0.045,-0.011,9.838,0.008,-0.007,0.005
0.140,0.048,-0.010,9.840,0.007,-0.006,0.004
0.150,0.050,-0.012,9.842,0.009,-0.008,0.006
0.160,0.052,-0.011,9.845,0.008,-0.007,0.005
0.170,0.055,-0.013,9.848,0.010,-0.009,0.007
0.180,0.058,-0.012,9.850,0.009,-0.008,0.006
0.190,0.060,-0.014,9.852,0.011,-0.010,0.008
0.200,0.062,-0.013,9.855,0.010,-0.009,0.007

